sendText,stenoKeyString
r,S
s,T
n,P
i,H
a,S
o,K
t,W
e,R
c,KR
u,KW
q,SW
l,SK
y,PH
f,TH
p,TP
z,SP
b,ST
h,WR
d,SR
g,SH
x,SW
k,KH
v,TR
j,SP
m,SR
w,SH
/,TW
-,KP
?,WH
",",PR
;,SK
',ST
R,SA
S,TA
N,PA
I,HA
A,SA
O,KA
T,WA
E,RA
C,KRA
U,KWA
Q,SWA
L,SKA
Y,PHA
P,TPA
Z,SPA
B,STA
H,WRA
D,SRA
G,SHA
X,SWA
V,TRA
J,SPA
M,SRA
W,SHA
\,TWA
_,KPA
!,WHA
.,PRA
:,SKA
"""",STA
>,SO
},TO
],PO
),HO
<,SO
{,KO
[,WO
(,RO
1,KRO
2,KWO
3,SWO
4,SKO
6,THO
7,TPO
9,STO
0,WRO
@,SRO
#,SHO
^,SWO
+,KHO
*,TRO
=,SPO
$,SRO
&,SHO
|,TWO
%,KPO
~,PRO
`,STO
F,THA
K,KHA
5,PHO
8,SPO
